用户,一级,二级,三级,内容描述
小程序端,登录访问,身份入口,用户登录,用水户使用移动端登录系统；区分公共供水用户与自备水用户身份，进入对应业务首页与菜单权限。
小程序端,登录访问,身份入口,账号体系,支持注册入口引导（可与统一账号或政务账号体系对接；实施阶段确定登录方式）。
小程序端,首页工作台,数据概览,用水与计划概况,首页展示用水计划、累计用水等核心指标卡片，便于用水户快速掌握本年度用水与计划执行情况。
小程序端,首页工作台,分析图表,用水量与定额趋势,提供用水量按月统计、多年度定额对标趋势等图表展示，辅助用水分析（指标与时间维度可按数据源对接调整）。
小程序端,首页工作台,快捷办理,高频业务入口,首页配置计划申请、定额对标、定额查询、智能问答等快捷入口；用水户可自定义常用功能顺序。
小程序端,首页工作台,业务规则,建档前置校验,公共供水用户未完成企业建档时，引导先完成注册建档后再办理定额对标等业务，保证数据口径一致。
小程序端,首页工作台,自备水门户,常用功能聚合,自备水用户首页聚合现场抄表、换表管理、定额对标、计划申请等服务入口，一键进入办理。
小程序端,消息中心,通知,消息列表,用水户接收系统通知、待办提醒等消息列表，支持未读标识与分类浏览。
小程序端,消息中心,通知,消息详情,查看单条通知全文，包括计划填报截止提醒、审核结果等业务通知。
小程序端,个人中心,账户,个人信息与入口,展示当前身份类型；提供前往企业建档、意见反馈等扩展入口（可按实施清单增减）。
小程序端,企业建档,信息采集,企业注册填报,用水户在线填报用水户名称、单位性质、取用水类型、水源类型、法人代表及主要产品与生产能力等信息，形成电子建档资料，作为后续业务唯一基础数据来源。
小程序端,企业建档,信息采集,水源与业务联动,建档所选水源类型用于后续定额对标表单展示与校验；建档完成后方可办理核心业务（规则可按监管要求配置）。
小程序端,定额对标,调查入口,年度任务,用水户进入当年定额对标调查任务；可查看历史年度已提交记录（档案留存与展示方式可按监管要求配置）。
小程序端,定额对标,表单填报,基本情况展示,自动带出建档中的用水户名称；展示用水户类型及已登记水源类型，避免重复录入、保证与建档一致。
小程序端,定额对标,表单填报,行业与产品选择,按国家行业分类逐级选择所属行业；在同一行业下勾选多个产品；名录内无产品时支持发起「新增产品」申请，审批通过后可选用。
小程序端,定额对标,表单填报,产量与分项水量,按产品填报产量及计量单位（备案产品锁定单位）；按户类型填报自来水或自备取水、非常规水及其它分项水量；火电等特殊行业支持填报消耗类水量项。
小程序端,定额对标,表单填报,产品与工艺说明,支持填写主要产品工艺流程及用水环节文字说明，并上传工艺相关附件，便于管理部门对标核查。
小程序端,定额对标,对标汇总,分水源年度合计,填报完成后展示「定额对标·分水源类型合计」，按各水源类型汇总本年度用水总量，可与分项填报结果对照（用于内部核对）。
小程序端,定额对标,对标汇总,产品产量与水量合计,展示「定额对标·产品产量与水量合计」清单：含产品名称、产量（t）、水量（m³）、产品单耗（m³/t），支撑定额对标结论形成。
小程序端,定额对标,业务流程,校验与提交,必填项校验通过后提交定额对标申请；生成待审核业务记录，进入管理部门审批环节（消息与流程对接在实施阶段配置）。
小程序端,定额对标,档案查询,历史记录查看,用水户查看已生效或已提交的定额对标档案内容（只读），便于复核与打印留存需求对接。
小程序端,定额查询,标准检索,行业产品定额,用水户按行业与产品检索国家或地方公布的用水定额标准，支撑对标测算与沟通（标准库内容与更新机制在实施阶段维护）。
小程序端,智能服务,问答,用水政策与数据问答,提供自然语言问答入口，解答用水定额、办事流程等常见问题（知识库与模型调用范围在实施阶段约定）。
